label,text
ham,"Go until jurong point crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward! To claim call 09061701461"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle' is cancelled."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt CSH11 and send to 87575"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to 81010"
ham,"I've been searching for the right words to thank you for this breather. I promise I won't take your help for granted and will fulfill my promise."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap.xxxmobilemovieclub.com"
ham,"Oh k...i'm watching here:)"
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet."
spam,"As a valued customer, you have been selected to win a £900 cash prize! Call 09061701461 to claim."
ham,"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u say it's bad."
ham,"You in your office?"
spam,"You have WON a guaranteed £1000 cash or a £2000 prize. Call 09058094455"
